rank,company,headquarters,state,subtype,industries
1,Michelin Group,"Greenville, South Carolina",South Carolina,company,Automotive (Automotive and Suppliers)
2,Trader Joe's,"Monrovia, California",California,company,Retail and Wholesale
3,Google,"Mountain View, California",California,company,"IT, Internet, Software & Services"
4,Principal Financial Group,"Des Moines, Iowa",Iowa,company,Banking and Financial Services
5,Costco Wholesale,"Issaquah, Washington",Washington,company,Retail and Wholesale
6,Penn Medicine,"Philadelphia, Pennsylvania",Pennsylvania,company,Healthcare & Social
7,NRG Energy,"Princeton, New Jersey",New Jersey,company,Utilities
8,Wegmans Food Markets,"Rochester, New York",New York,company,Retail and Wholesale
9,Harvard University,"Cambridge, Massachusetts",Massachusetts,college,Education
10,Navy Federal Credit Union,"Vienna, Virginia",Virginia,company,Banking and Financial Services
11,United Services Automobile Association,"San Antonio, Texas",Texas,company,Insurance
12,Jack Henry & Associates,"Monett, Missouri",Missouri,company,"IT, Internet, Software & Services"
13,Southwest Airlines,"Dallas, Texas",Texas,company,Transportation and Logistics
14,Mayo Clinic,"Rochester, Minnesota",Minnesota,company,Healthcare & Social
15,Stanford University,"Stanford, California",California,college,Education
16,Lululemon Athletica,Vancouver,NA,company,"Clothing, Shoes, Sports Equipment"
17,Southern Company,"Atlanta, Georgia",Georgia,company,Utilities
18,Duke University,"Durham, North Carolina",North Carolina,college,Education
19,SAP,"Newtown Square, Pennsylvania",Pennsylvania,company,"IT, Internet, Software & Services"
20,Mastercard,"Purchase, New York",New York,company,Banking and Financial Services
21,VMware,"Palo Alto, California",California,company,"IT, Internet, Software & Services"
22,Genentech,"San Francisco, California",California,company,Drugs & Biotechnology
23,World Bank Group,"Washington, District of Columbia",District of Columbia,company,Banking and Financial Services
24,HDR,"Omaha, Nebraska",Nebraska,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
25,Microsoft,"Redmond, Washington",Washington,company,"IT, Internet, Software & Services"
26,REI,"Kent, Washington",Washington,company,"Clothing, Shoes, Sports Equipment"
27,MD Anderson Cancer Center,"Houston, Texas",Texas,company,Healthcare & Social
28,Michigan State University,"East Lansing, Michigan",Michigan,college,Education
29,Howard County Public Schools,"Ellicott City, Maryland",Maryland,company,Education
30,John Hancock Financial,"Boston, Massachusetts",Massachusetts,company,Banking and Financial Services
31,Facebook,"Menlo Park, California",California,company,"IT, Internet, Software & Services"
32,Salesforce.com,"San Francisco, California",California,company,"IT, Internet, Software & Services"
33,JetBlue Airways,"Long Island City, New York",New York,company,Transportation and Logistics
34,Boscov's,"Reading, Pennsylvania",Pennsylvania,company,Retail and Wholesale
35,University of Utah Health Care,"Salt Lake City, Utah",Utah,company,Healthcare & Social
36,VSP Global,"Rancho Cordova, California",California,company,Insurance
37,Garmin,"Olathe, Kansas",Kansas,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
38,Publix Super Markets,"Lakeland, Florida",Florida,company,Retail and Wholesale
39,Emory University,"Atlanta, Georgia",Georgia,college,Education
40,University of North Texas,"Denton, Texas",Texas,college,Education
41,Ingersoll Rand,"Davidson, North Carolina",North Carolina,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
42,Sheetz,"Altoona, Pennsylvania",Pennsylvania,company,Retail and Wholesale
43,Consumers Energy,"Jackson, Michigan",Michigan,company,Utilities
44,Amgen,"Thousand Oaks, California",California,company,Drugs & Biotechnology
45,Montgomery County Public Schools,"Rockville, Maryland",Maryland,company,Education
46,OSF HealthCare,"Peoria, Illinois",Illinois,company,Healthcare & Social
47,New Hanover Regional Medical Center,"Wilmington, North Carolina",North Carolina,company,Healthcare & Social
48,University of Iowa Hospitals & Clinics,"Iowa City, Iowa",Iowa,company,Healthcare & Social
49,UCSF Medical Center,"San Francisco, California",California,company,Healthcare & Social
