rank,country,population,rank.innovation,rank.tax_burden,rank.monetary_freedom,pct.gdp_growth,gdp_per_capita,pct.trade_balance.gdp,gdp.billions
1,United Kingdom,64800004,12,23,25,0.018,39900,-0.044,2629
2,New Zealand,4500000,20,9,2,0.036,39400,-0.028,182
3,Netherlands,17100000,6,20,15,0.022,45300,0.085,778
4,Sweden,10000000,7,27,22,0.032,51600,0.045,511
5,Canada,35600000,23,16,83,0.015,42200,-0.033,1530
6,Hong Kong,7200000,26,3,41,0.02,43700,0.046,321
7,Denmark,5600000,10,8,18,0.017,53400,0.079,307
8,Ireland,5000000,19,4,4,0.051,61600,0.033,304
9,Singapore,5900000,9,7,31,0.02,53000,0.19,297
10,Switzerland,8200000,1,19,30,0.014,78800,0.105,669
11,Australia,23200000,27,26,9,0.025,49900,-0.026,1262
12,United States,326600000,2,36,64,0.015,57500,-0.024,18620
13,Germany,80600000,5,39,13,0.019,41900,0.083,3479
14,Finland,5500000,4,12,24,0.019,43100,-0.011,239
15,Norway,5300000,14,28,97,0.011,70800,0.05,371
16,Taiwan,23500000,11,52,23,0.015,22500,0.14,530
17,Belgium,11500000,16,54,26,0.012,41100,-0.004,467
18,Austria,8800000,13,38,36,0.015,44200,0.017,387
19,South Korea,51200000,18,24,32,0.028,27500,0.07,1411
20,Spain,49000000,42,34,17,0.032,26500,0.019,1233
21,Japan,126500000,8,61,43,0.01,38900,0.038,4937
22,France,67100000,17,51,49,0.012,36900,-0.01,2466
23,Israel,8300000,3,84,27,0.04,37300,0.036,318
24,Portugal,10800000,32,37,12,0.014,19800,0.007,205
25,Luxembourg,600000,15,21,10,0.042,102800,0.047,60
26,Iceland,300000,24,33,51,0.072,60000,0.079,20
27,Estonia,1300000,30,14,16,0.021,17600,0.019,23
28,Czech Republic,10700000,36,50,14,0.026,18300,0.011,195
29,Italy,62100000,34,91,5,0.009,30500,0.026,1851
30,Lithuania,2800000,41,18,3,0.023,14900,-0.009,43
31,United Arab Emirates,6100000,25,1,76,0.03,37600,0.024,349
32,Slovenia,2000000,35,53,20,0.031,21300,0.052,45
33,Chile,17800000,52,65,47,0.016,13800,-0.014,247
34,Poland,38500000,59,48,28,0.026,12400,-0.002,469
35,Malaysia,31400000,22,66,21,0.042,9500,0.024,297
36,Latvia,1900000,82,13,8,0.02,14100,0.015,28
37,Cyprus,1200000,53,42,39,0.028,23300,-0.053,20
38,Malta,400000,38,64,35,0.055,25100,0.079,11
39,Slovakia,5400000,67,46,53,0.033,16500,-0.007,90
40,Qatar,2300000,21,1,60,0.022,59300,-0.049,156
41,Mauritius,1400000,63,10,52,0.039,9600,-0.044,12
42,Hungary,9900000,62,81,1,0.02,12700,0.055,124
43,Romania,21500000,95,40,34,0.048,9500,-0.023,188
44,Greece,10800000,75,59,80,0,18100,-0.006,195
45,Costa Rica,4900000,43,55,55,0.043,11800,-0.032,58
46,Bulgaria,7100000,68,78,40,0.034,7400,0.042,52
47,Oman,3400000,76,11,59,0.03,15000,-0.186,66
48,South Africa,54800000,39,43,96,0.003,5300,-0.033,295
49,Thailand,68400000,50,60,112,0.032,5900,0.115,407
50,Saudi Arabia,28600000,40,68,128,0.017,20000,-0.043,646
51,Croatia,4300000,105,82,62,0.03,12100,0.026,51
52,Georgia,4900000,117,22,81,0.027,3900,-0.133,14
53,Bahrain,1400000,45,5,58,0.03,22400,-0.047,32
54,Uruguay,3400000,92,89,120,0.015,15200,-0.001,52
55,Morocco,34000000,93,25,45,0.012,2800,-0.044,104
56,Turkey,80800000,69,77,116,0.032,10800,-0.038,863
57,Mexico,124600000,56,94,73,0.023,8200,-0.022,1047
58,Russia,142300000,49,49,148,-0.002,8700,0.02,1283
59,Indonesia,260600000,31,93,104,0.05,3600,-0.018,932
60,Peru,31000000,112,98,38,0.04,6000,-0.027,195
61,Colombia,47700000,73,115,88,0.02,5800,-0.043,282
62,India,1281900032,29,97,101,0.071,1700,-0.007,2264
63,Macedonia,2100000,NA,29,57,0.024,5200,-0.031,11
