"year","list","position","rank","name","last_name","net_worth.millions","age","source","industry","gender","squareImage","url.bio.forbes","url.image"
2016,"India 50",1,1,"Mukesh Ambani","Ambani",22700,61,"petrochemicals, oil & gas","Energy","M","//specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223","http://www.forbes.com/profile/mukesh-ambani","http://i.forbesimg.com/media/lists/people/mukesh-ambani_200x200.jpg"
2016,"India 50",2,2,"Dilip Shanghvi","Shanghvi",16900,62,"pharmaceuticals","Healthcare","M","//specials-images.forbesimg.com/imageserve/59cbfe1aa7ea434a34f46ad9/416x416.jpg?background=000000&cropX1=731&cropX2=3388&cropY1=11&cropY2=2667","http://www.forbes.com/profile/dilip-shanghvi","http://i.forbesimg.com/media/lists/people/dilip-shanghvi_200x200.jpg"
2016,"India 50",3,3,"Hinduja family","Hinduja",15200,NA,"Hinduja Group","Diversified","M","//specials-images.forbesimg.com/imageserve/5a8159ea4bbe6f2652f547d4/416x416.jpg?background=000000&cropX1=1029&cropX2=3189&cropY1=6&cropY2=2165","http://www.forbes.com/profile/hinduja","http://i.forbesimg.com/media/lists/people/hinduja_200x200.jpg"
2016,"India 50",4,4,"Azim Premji","Premji",15000,72,"software services","Technology","M","//specials-images.forbesimg.com/imageserve/5a7f0e8231358e4955ad1813/416x416.jpg?background=000000&cropX1=979&cropX2=3562&cropY1=11&cropY2=2592","http://www.forbes.com/profile/azim-premji","http://i.forbesimg.com/media/lists/people/azim-premji_200x200.jpg"
2016,"India 50",5,5,"Pallonji Mistry","Mistry",13900,89,"construction","Construction & Engineering","M","//specials-images.forbesimg.com/imageserve/222dbe79a423261046cbdb42ac70e16b/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744","http://www.forbes.com/profile/pallonji-mistry","http://i.forbesimg.com/media/lists/people/pallonji-mistry_200x200.jpg"
2016,"India 50",6,6,"Lakshmi Mittal","Mittal",12500,68,"steel","Metals & Mining","M","//specials-images.forbesimg.com/imageserve/59cbfbf5a7ea434a34f46a72/416x416.jpg?background=000000&cropX1=15&cropX2=2362&cropY1=10&cropY2=2359","http://www.forbes.com/profile/lakshmi-mittal","http://i.forbesimg.com/media/lists/people/lakshmi-mittal_200x200.jpg"
2016,"India 50",7,7,"Godrej family","Godrej",12400,NA,"Godrej Group",NA,NA,"//specials-images.forbesimg.com/imageserve/59cbfcc9a7ea434a34f46a8b/416x416.jpg?background=000000&cropX1=394&cropX2=3045&cropY1=11&cropY2=2661","http://www.forbes.com/profile/godrej","http://i.forbesimg.com/media/lists/people/godrej_200x200.jpg"
2016,"India 50",8,8,"Shiv Nadar","Nadar",11400,72,"software services","Technology","M","//specials-images.forbesimg.com/imageserve/37d84982997cb979720fb6f28fa88067/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=111&cropY2=855","http://www.forbes.com/profile/shiv-nadar","http://i.forbesimg.com/media/lists/people/shiv-nadar_200x200.jpg"
2016,"India 50",9,9,"Kumar Birla","Birla",8800,51,"commodities","Diversified","M","//specials-images.forbesimg.com/imageserve/56ca6247e4b062f6b59a2f96/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=280&cropY2=1024","http://www.forbes.com/profile/kumar-birla","http://i.forbesimg.com/media/lists/people/kumar-birla_200x200.jpg"
2016,"India 50",10,10,"Cyrus Poonawalla","Poonawalla",8600,77,"vaccines","Healthcare","M","//specials-images.forbesimg.com/imageserve/5a7f180331358e4955ad1867/416x416.jpg?background=000000&cropX1=120&cropX2=1112&cropY1=128&cropY2=1120","http://www.forbes.com/profile/cyrus-poonawalla","http://i.forbesimg.com/media/lists/people/cyrus-poonawalla_200x200.jpg"
2016,"India 50",11,11,"Uday Kotak","Kotak",8300,59,"banking","Finance and Investments","M","//specials-images.forbesimg.com/imageserve/59d3d4884bbe6f37dd9fe8da/416x416.jpg?background=000000&cropX1=589&cropX2=1817&cropY1=651&cropY2=1879","http://www.forbes.com/profile/uday-kotak","http://i.forbesimg.com/media/lists/people/uday-kotak_200x200.jpg"
2016,"India 50",12,12,"Sunil Mittal","Mittal",6600,60,"telecom","Telecom","M","//specials-images.forbesimg.com/imageserve/5a7f52844bbe6f2652f530fe/416x416.jpg?background=000000&cropX1=32&cropX2=4500&cropY1=16&cropY2=4487","http://www.forbes.com/profile/sunil-mittal","http://i.forbesimg.com/media/lists/people/sunil-mittal_200x200.jpg"
