rank,company,industry,country,pct.sales_growth,innovation_premium,headquarters,region
1,ServiceNow,Software & Services,United States,0.3902,0.8922,NA,North America
2,Workday,Software & Services,United States,0.3607,0.8284,NA,North America
3,Salesforce.com,Software & Services,United States,0.2488,0.8227,NA,North America
4,Tesla,Automobiles & Components,United States,0.6798,0.7827,NA,North America
5,Amazon.com,Retailing,United States,0.308,0.774,NA,North America
6,Netflix,Retailing,United States,0.3241,0.7123,NA,North America
7,Incyte,"Pharmaceuticals, Biotechnology & Life Sciences",United States,0.3893,0.7059,NA,North America
8,Hindustan Unilever,Household & Personal Products,India,0.1149,0.672,India,Central Asia
9,Naver,Software & Services,South Korea,0.1936,0.6462,South Korea,Pacific Rim
10,Facebook,Software & Services,United States,0.4709,0.6442,NA,North America
11,Monster Beverage,"Food, Beverage & Tobacco",United States,0.1067,0.6426,NA,North America
12,Unilever Indonesia,Household & Personal Products,Indonesia,0.0225,0.6391,Indonesia,Pacific Rim
13,Adobe Systems,Software & Services,United States,0.2456,0.6238,NA,North America
14,Celltrion,"Pharmaceuticals, Biotechnology & Life Sciences",South Korea,0.4525,0.623,South Korea,Pacific Rim
15,Autodesk,Software & Services,United States,0.0133,0.6204,NA,North America
16,Regeneron Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",United States,0.2082,0.6111,NA,North America
17,Vertex Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",United States,0.462,0.6093,NA,North America
18,Amorepacific,Household & Personal Products,South Korea,-0.0686,0.6081,South Korea,Pacific Rim
19,AmerisourceBergen,Health Care Equipment & Services,United States,0.0429,0.5869,NA,North America
20,Illumina,"Pharmaceuticals, Biotechnology & Life Sciences",United States,0.1474,0.5833,NA,North America
21,Marriott International,Consumer Services,United States,0.341,0.5815,NA,North America
22,Alexion Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",United States,0.1732,0.5804,NA,North America
23,CP All,Food & Staples Retailing,Thailand,0.1267,0.5732,Thailand,Pacific Rim
24,Red Hat,Software & Services,United States,0.2109,0.5693,NA,North America
